Source,Name,RSS feed URLs (where available),Type,Topic,Source or Referring 2,Editorial Slant,AllSides Rating,Pew Rating,BU_Libraries_ideology_score,Facebook_paper_ideology_score,AdFontes Bias,AdFontes Bias Score,AdFontes Reliability,AdFontes Reliability Score,Associated Twitter Handle,Associated Publisher,Text Aliases,Description,Position (if explicit),wiki_url,wiki_summary_city,wiki_summary_country,Country,Region,Twitter_bio,Est number of pages
https://www.thelocal.de,The Local,,News Source,International,Referring,,,,,,,,,,@TheLocalGermany,The Local,,Germany news in English,,https://en.wikipedia.org/wiki/The_Local,Stockholm,Austria,Germany,Europe,,
https://www.miamiherald.com,The Miami Herald,,News Source,International,Referring,left-center,left-center,,,-0.3418,,,,,@MiamiHerald,The Miami Herald,,Florida news in Spanish,,https://en.wikipedia.org/wiki/Miami_Herald,Doral,United States,United States,NAmerica,,
http://www.milligazette.com,The Milli Gazette,,News Source,International,Referring,,,,,,,,,,@milligazette,The Milli Gazette,,"Indian newspaper, in English, for Indian Muslims",,https://en.wikipedia.org/wiki/The_Milli_Gazette,Delhi,India,India,Asia,,
www.thenation.com,The Nation,,News Source,International,Referring,left-center,,,Leans Liberal,-0.9463,skews left,-16.89,mixed reliability,33.39,@thenation,,,,,,,,USA,NAmerica,,
http://nationalpost.com,The National Post,,News Source,International,Referring,,,,,-0.9487,,,,,@nationalpost,The National Post,,Canadian conglomerate,,https://en.wikipedia.org/wiki/National_Post,Ontario,Canada,Canada,NAmerica,,
newrepublic.com,The New Republic,,News Source,International,Referring,left-center,,,Leans Liberal,-0.9487,skews left,-12.82,mixed reliability,36.43,@newrepublic,,,,,,,,USA,NAmerica,,
newtimes.ru,The New Times,,News Source,International,Referring,,,,,,,,,,@the_newtimes,,,,,,,,Russia,Europe,,
http://jewishweek.timesofisrael.com/,The New York Jewish Week,,News Source,Jewish,Referring,,,,,0.3685,,,,,@NYJewishWeek,The New York Jewish Week,,"US-based. Since 1875. The largest independent, Jewish community newspaper in America.",Pro-Israel,https://en.wikipedia.org/wiki/The_Jewish_Week,New York,Israel,United States,NAmerica,,
https://www.nysun.com,The New York Sun,,News Source,International,Referring,,,,,,,,,,@NewYorkSun,The New York Sun,,,,https://en.wikipedia.org/wiki/The_New_York_Sun,Manhattan,,United States,NAmerica,,
https://www.newyorker.com/,The New Yorker,,News Source,International,Referring,left,left,consistently liberal,,-0.7584,skews left,-6.9,most reliable,41.85,@NewYorker,, ,,,https://en.wikipedia.org/wiki/The_New_Yorker,New York City,United States,United States,NAmerica,,
thenortheasttoday.com,The Northeast Today,,News Source,International,Referring,,,,,-0.9487,,,,,@TNT_Magazine,,,,,,,,India,Asia,,
https://oklahoman.com,The Oklahoman,,News Source,International,Referring,,,,Leans Conservative,-0.9487,,,,,@theoklahoman_,The Oklahoman,,Oklahoma news,,https://en.wikipedia.org/wiki/The_Oklahoman,Oklahoma,,United States,NAmerica,,
https://www.ocregister.com,The Orange County Register,,News Source,International,Referring,right-center,right-center,,,,,,,,@ocregister,The Orange County Register,,OC news,,https://en.wikipedia.org/wiki/Orange_County_Register,Anaheim,United States,United States,NAmerica,,
https://www.oregonlive.com,The Oregonian,,News Source,International,Referring,,,,,-0.3203,,,,,@Oregonian,The Oregonian,,Oregon news,,https://en.wikipedia.org/wiki/The_Oregonian,Portland,United States,United States,NAmerica,,
